day	hour	qqq	value
11	28	Brayan Beckeles;Chigozie Agbim;Landry N'Guemo;Alvaro Pereira	40
11	29		0
11	30	Max Gradel;Miiko Albornoz	20
12	1	Daniel Cambronero	10
12	2	Danijel Pranji?;Emmanuel Agyemang-Badu;Gaston Ramirez;Matteo Darmian	40
12	3	David Villa;Michael Essien	20
12	4		0
12	5	Ross Barkley	10
12	6	Tim Cahill	10
12	7		0
12	8	Raheem Sterling	10
12	9	Kwadwo Asamoah	10
12	10	Gonzalo Higuain;Tommy Oar;Wilfried Bony;Oscar Bagui	40
12	11	Fabian Johnson;Leighton Baines	20
12	12	Adam Kwarasey;Ramon Azeez;Victor Moses	30
12	13	Albert Adomah;Santi Cazorla	20
12	14	Didier Zokora;Juan Camilo Zuniga	20
12	15	Keylor Navas;Toni ?unji?	20
12	16	Mats Hummels;Maximo Banguera	20
12	17	Andre Ayew;Yann Sommer	20
12	18	Rashid Sumaila	10
12	19	Alexis Sanchez;Gary Cahill;Karim Benzema;Lazaros Christodoulopoulos	40
12	20	Fabian Schar;Martin Demichelis;Ognjen Vukojevi?	30
12	21	Giannis Fetfatzidis;Ousmane Viera	20
12	22	Eder	10
12	23		0
12	24	Lee Yong;Michael Babatunde;Serge Aurier	30
12	25	Ogenyi Onazi	10
12	26	Hugo Lloris;Sofiane Feghouli	20
12	27		0
12	28		0
12	29		0
12	30	Boubacar Barry;Marcelo Diaz	20
12	31	Mohammed Rabiu	10
